fn,gndr_ind
#NAME?,neutral
A,neutral
AARON,male
AB,neutral
ABE,male
ABEL,male
ABR,male
ABRAH,male
ABRAHAM,male
ABRAM,male
ADAM,male
ADELE,female
ADOLF,male
ADOLPH,male
AGATHA,female
AGATHE,female
AGNES,female
ALBERT,male
ALEX,male
ALEXANDER,male
ALEXANDRA,female
ALFRED,male
ALMA,female
ALTE,female
ALTER,male
AMALIA,female
AMANDA,female
ANASTASIA,female
AND,neutral
ANDERS,male
ANDR,male
ANDRAS,male
ANDRE,male
ANDREAS,male
ANDRZY,male
ANIELA,female
ANNA,female
ANNE,female
ANNIE,female
ANT,male
ANTON,male
ANTONI,male
ANTONIA,female
ANTONIE,female
ANTONINA,female
ANTONY,male
ANTTI,male
ARON,male
ARTHUR,male
AUG,male
AUGUST,male
AUGUSTA,female
AUGUSTE,female
B,neutral
BARBA,female
BARBARA,female
BARUCH,male
BASCHE,female
BASSE,female
BEER,male
BEHR,male
BEILE,female
BEN,male
BENJ,male
BENJAMIN,male
BENZEL,male
BER,male
BEREL,male
BERKO,male
BERL,male
BERNARD,male
BERNH,male
BERTHA,female
BETTY,female
BLUME,female
BOLESLAW,male
BORIS,male
BORUCH,male
BRANE,male
BREINE,female
BROCHE,female
BRONISLAW,male
BRONISLAWA,female
C,neutral
CARL,male
CAROL,female
CAROLINE,female
CASIMIR,male
CATH,female
CATHA,female
CATHAR,female
CATHERINE,female
CH,neutral
CHAIE,female
CHAIM,male
CHAIN,neutral
CHAINE,female
CHAJE,female
CHAJEM,male
CHANE,female
CHANNE,female
CHARLES,male
CHARLOTTE,female
CHASCHE,neutral
CHASKEL,male
CHASSE,neutral
CHATZKEL,male
CHAWE,neutral
CHEIE,female
CHONE,male
CHR,neutral
CHRIST,neutral
CHRISTE,female
CHRISTIAN,male
CHRISTINE,female
CHRISTOPHER,male
CLARA,female
CONRAD,male
CONSTANTIN,male
CORNELIUS,male
D,neutral
DANIEL,male
DAVID,male
DEBORA,female
DINA,female
DINE,female
DOBE,female
DOBRE,male
DOMINIK,male
DORA,female
DOROTHEA,female
DWORE,female
E,neutral
EDLA,female
EDUARD,male
EDWARD,male
EFRAIM,male
EIDEL,female
EISIG,male
EISIK,male
ELIAS,male
ELIE,male
ELIS,female
ELISAB,female
ELISABETH,female
ELISE,female
ELJE,female
ELKE,female
ELLA,female
EMANUEL,male
EMIL,male
EMILIA,female
EMILIE,female
EMMA,female
EPHRAIM,male
ERIK,male
ERNESTINE,female
ERNST,male
ESTER,female
ESTHER,female
ETTE,female
ETTEL,female
EVA,female
EWA,female
F,neutral
FANNY,female
FEIGE,female
FEIGEL,female
FEIWEL,male
FELIX,male
FERD,male
FERDINAND,male
FISCHEL,male
FR,neutral
FRANC,male
FRANCESCA,female
FRANCISKA,female
FRANCISZEK,male
FRANK,male
FRANS,male
FRANZ,male
FRANZISEK,male
FRANZISKA,female
FRED,male
FREIDE,female
FRIDA,female
FRIED,male
FRIEDA,female
FRIEDE,male
FRIEDR,male
FRIEDRICH,male
FRITZ,male
FRUME,female
G,neutral
GABRIEL,male
GEDALJE,male
GEO,male
GEORG,male
GEORGE,male
GERHARD,male
GERSON,male
GITEL,female
GITTE,female
GITTEL,female
GOLDE,female
GOTTFRIED,male
GOTTLIEB,male
GREGOR,male
GUST,male
GUSTAF,male
GUSTAV,male
H,neutral
HANNA,female
HANNAH,female
HANNE,female
HANS,male
HARRIS,male
HEDWIG,female
HEIKKI,male
HEINR,male
HEINRICH,male
HELENA,female
HELENE,female
HENE,female
HENNE,female
HENOCH,male
HENRI,male
HENRICH,male
HENRIETTE,female
HENRIK,male
HENRY,male
HERM,male
HERMAN,male
HERMANN,male
HERSCH,male
HERSCHEL,male
HERZ,neutral
HILDA,female
HILLEL,male
HILMA,female
HINDE,female
HIRSCH,male
HRCH,neutral
HULDA,female
I,neutral
IAN,male
IDA,female
IDEL,male
IGNACI,male
IGNATZ,male
IGNAZ,male
ISAAC,male
ISAAK,male
ISAK,male
ISIDOR,male
ISRAEL,male
ITE,female
ITTE,female
ITZIG,male
ITZIK,male
IVAN,male
IWAN,male
J,neutral
J.,neutral
JAC,male
JACOB,male
JADWIGA,female
JAKOB,male
JAN,male
JANE,female
JANKEL,male
JANOS,male
JANS,male
JEAN,male
JENNY,female
JENTE,female
JETTE,female
JOEL,male
JOH,male
JOH.,neutral
JOHAN,male
JOHANN,male
JOHANNA,female
JOHANNE,female
JOHANNES,male
JOHN,male
JOHS,male
JONAS,male
JONS,male
JOS,male
JOS.,male
JOSAS,male
JOSEF,male
JOSEFA,female
JOSEFINE,female
JOSEL,male
JOSEPH,male
JOSEPHA,female
JOSES,male
JOSSEL,male
JOZEF,male
JSOEF,male
JUDA,male
JUDE,male
JUDEL,male
JUDES,male
JUHO,male
JUL,male
JULIA,female
JULIAN,male
JULIANA,female
JULIANE,female
JULIANNA,female
JULIANNE,female
JULIE,female
JULIUS,male
JURAS,male
JURGIS,male
JUSTINA,female
JUSTINE,female
K,neutral
KAISA,female
KALLE,male
KALMAN,male
KARL,male
KAROLINA,female
KAROLINE,female
KASIMIR,male
KASIS,male
KATH,female
KATHA,female
KATHARINA,female
KAZIMIR,male
KEILE,female
KOPPEL,male
L,neutral
LEA,female
LEAH,female
LEIB,male
LEIBE,male
LEIE,female
LEISER,male
LENA,female
LEO,male
LEON,male
LEOPOLD,male
LIBE,female
LIEB,male
LIEBE,female
LINA,female
LINE,female
LIPE,male
LIPPE,male
LISA,female
LORE,female
LORENZ,male
LOUIS,male
LOUISA,female
LOUISE,female
LUDW,neutral
LUDWIG,male
LUDWIKA,female
LYDIA,female
M,neutral
M.,neutral
MAGD,female
MAGDA,female
MAGDALENA,female
MALE,neutral
MALKE,female
MAR,neutral
MARCIN,male
MARCUS,male
MARG,female
MARGA,female
MARGARETH,female
MARIA,female
MARIAN,male
MARIANNA,female
MARIANNE,female
MARIE,female
MARK,male
MARKUS,male
MARTHA,female
MARTIN,male
MARY,female
MARYANNA,female
MASCHE,female
MATEUS,male
MATH,male
MATHEUS,male
MATHIAS,male
MATHILDA,female
MATHILDE,female
MATTI,male
MATTS,male
MAX,male
MAYER,male
MEIER,male
MENDEL,male
MERE,female
MEYER,male
MICH,male
MICHAEL,male
MICHAL,male
MICHALINA,female
MICHEL,male
MICHL,male
MICHLE,female
MIHAL,male
MINA,female
MINDEL,female
MINE,female
MINNA,female
MIREL,female
MOISCHE,male
MORDCHE,male
MORDSCHE,male
MORITZ,male
MORRIS,male
MOSCHE,male
MOSES,male
MOTEL,male
MOTTEL,male
N,neutral
NACHMAN,male
NATALIE,female
NATHAN,male
NECHAME,female
NECHE,male
NICOLAI,male
NICOLAUS,male
NISSEN,male
NOACH,male
NOAH,male
NOCHEM,male
NOCHIM,male
O,neutral
OLGA,female
OSCAR,male
OSCHER,male
OSIAS,male
OSIP,male
OSKAR,male
OSSIP,male
OTTILIE,female
OTTO,male
P,neutral
PAUL,male
PAULINA,female
PAULINE,female
PAVEL,male
PAWEL,male
PEISACH,male
PELAGIA,female
PERL,female
PESACH,male
PESCHE,female
PESSE,female
PETER,male
PETRONELLA,female
PHILLIP,male
PINKUS,male
PIOTR,male
R,neutral
RACHAEL,female
RACHEL,female
RAFAEL,male
RAHEL,female
RAPHAEL,male
RASCHE,neutral
REBECCA,female
REGINA,female
REISE,female
REISEL,female
RICHARD,male
RIFKE,female
RIVE,female
RIVKE,female
RIWE,female
RIWKE,female
ROBERT,male
ROCHE,neutral
ROCHEL,female
ROMAN,male
ROSA,female
ROSALIA,female
ROSALIE,female
ROSE,female
ROSINA,female
ROSINE,female
RUBEN,male
RUBIN,male
RUCHEL,female
RUDOLF,male
S,neutral
SALI,female
SALMEN,male
SALMON,male
SALOMON,male
SAM,male
SAML,male
SAMUEL,male
SANNA,female
SARA,female
SARAH,female
SARE,female
SAUL,male
SCH,neutral
SCHAIE,neutral
SCHAJE,male
SCHEINDEL,female
SCHEINE,female
SCHEPSEL,male
SCHEWE,neutral
SCHIE,neutral
SCHIFRE,female
SCHLOME,male
SCHMUEL,male
SCHMUL,male
SCHOLEM,male
SELDE,female
SELIG,male
SELMA,female
SENDER,male
SIGMUND,male
SIMCHE,male
SIME,male
SIMON,male
SLATE,male
SOFIA,female
SOFIE,female
SOLOMON,male
SOPHIE,female
SORE,female
STAN,male
STANISL.,male
STANISLAUS,male
STANISLAW,male
STANISLAWA,female
STEFAN,male
STEFANIE,female
STEPHAN,male
SURE,neutral
SUSANNA,female
T,neutral
TAUBE,female
TEKLA,female
TEOFIL,male
TEOFILA,female
THEODOR,male
THERESA,female
THOMAS,male
TOBIAS,male
TOMAS,male
U,neutral
URSULA,female
V,neutral
VALENTIN,male
VALENTY,male
VERONICA,female
VERONIKA,female
VICTOR,male
VICTORIA,female
VINCENT,male
VINCENTI,male
VINCENTY,male
VINCENZ,male
W,neutral
WALENTY,male
WANDA,female
WILHELM,male
WILHELMINA,female
WILLIAM,male
WINCENTY,male
WLAD,male
WLAD.,male
WLADISL.,neutral
WLADISLAW,male
WLADISLAWA,female
WM,male
WOJCIECH,male
WOLF,male
WOLFF,male
ZIPE,female
ZIPPE,neutral
