occID,occ_nm,occ_ctg,occ_grp
1,ACCOUNTANT,Credit and public commercial institutions,Trade and commerce
2,"ACTOR, ACTRESS","Science, literature, and art","Arts, entertainment, sports"
3,ADJUSTER,Credit and public commercial institutions,Trade and commerce
4,ADVOCATE,"Administration, courts and police",Government
5,AGENT,"Private activity and service; servants, day laborers",Estate and household labor
6,"AGRICULTURIST, AGRICULTURALIST",Agriculture,Agriculture
7,AMBASSADOR,"Administration, courts and police",Government
8,APOTHECARY,Medical and health services,Service and hospitality
9,APPRENTICE,Manufacture not included in above or undetermined,Manufacturing and mining
10,ARCHITECT,"Construction, repair and maintenance of residences and general construction work",Construction
11,ARMY,Armed forces,Government
12,ARMY OFFICER,Armed forces,Government
13,ARTIFICIAL FLOWERS MAKER,Garment making,"Leather, textiles, garments"
14,ARTISAN,Manufacture not included in above or undetermined,Manufacturing and mining
15,"ARTIST, SCENIC ARTIST","Science, literature, and art","Arts, entertainment, sports"
16,ASSISTANT,"Administration, courts and police",Government
17,ASTRONOMER,"Science, literature, and art","Education, sciences"
18,AUTHOR,"Science, literature, and art","Arts, entertainment, sports"
19,BAGGER,Undetermined,NA
20,BAKER,Processing of plant and animal food products,Production of food and drink
21,BANK CLERK,Credit and public commercial institutions,Trade and commerce
22,BANKER,Credit and public commercial institutions,Trade and commerce
23,BAR KEEPER,Drinking establishments,Service and hospitality
24,"BAR MAN, BARTENDER",Drinking establishments,Service and hospitality
25,BARBER,Establishments providing bathing and personal hygiene services,Service and hospitality
26,BARKER,"Science, literature, and art","Arts, entertainment, sports"
27,BARON/BARONET,Member of privileged class,No occupation
28,BASKET MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
29,"BATHER, BATHMAKER",Manufacture not included in above or undetermined,Manufacturing and mining
30,BATTER,Processing of fibrous materials,"Leather, textiles, garments"
31,BCKM,Undetermined,NA
32,BEAD MAKER,Garment making,"Leather, textiles, garments"
33,BICYCLE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
34,BINDER,Printing,Printing and journalism
35,BIRD MAN,Trade in other articles,Trade and commerce
36,BIRD SELLER,Trade in other articles,Trade and commerce
37,BISHOP,Ministry in the Orthodox faith,Faith-related
38,BIT MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
39,BLACKING MAKER,Garment making,"Leather, textiles, garments"
40,BLACKSMITH,Processing of metals,Manufacturing and mining
41,BLEACHER,Processing of fibrous materials,"Leather, textiles, garments"
42,BLOCK MAKER,Processing of mineral substances (ceramics),Manufacturing and mining
43,BLUEDYER,Processing of fibrous materials,"Leather, textiles, garments"
44,BOARDINGHOUSE KEEPER,"Private activity and service; servants, day laborers",Service and hospitality
45,BOATMAN,Water transport,Transportation and communication
46,BOBBIN MAKER,Processing of fibrous materials,"Leather, textiles, garments"
47,BOILER MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
48,BONNET MAKER,Garment making,"Leather, textiles, garments"
49,BOOK DEALER,"Trade in articles of luxury, science, art, culture, etc.",Trade and commerce
50,BOOK-KEEPER,Credit and public commercial institutions,Trade and commerce
51,BOOKBINDER,Printing,Printing and journalism
52,"BOOKMAKER, BOOKFOLDER",Printing,Printing and journalism
53,BOOKMAN,Printing,Printing and journalism
54,BOOKSELLER,"Trade in articles of luxury, science, art, culture, etc.",Trade and commerce
55,BOOT & SHOE MAKER,Garment making,"Leather, textiles, garments"
56,BOOTBLACK/BLACKER,"Private activity and service; servants, day laborers",Service and hospitality
57,BOTTLE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
58,BOX MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
59,BRAID MAKER/WEAVER,Processing of fibrous materials,"Leather, textiles, garments"
60,BRASS FINISHER,Processing of metals,Manufacturing and mining
61,BRASS FOUNDER,Processing of metals,Manufacturing and mining
62,BRASS MOULDER,Processing of metals,Manufacturing and mining
63,BRASS WORKER,Processing of metals,Manufacturing and mining
64,BRAZIER,Processing of metals,Manufacturing and mining
65,BREAD BAKER,Processing of plant and animal food products,Production of food and drink
66,BREAD DEALER,Trade in other agricultural products,Trade and commerce
67,BREWER,"Distilling, brewing and honey fermenting",Production of food and drink
68,BRICK MAKER/MANUFACTURER,Processing of mineral substances (ceramics),Manufacturing and mining
69,"BRICKLAYER, MAURER","Construction, repair and maintenance of residences and general construction work",Construction
70,"BROKER, SHARE BROKER",Commercial brokerage services,Trade and commerce
71,BROOM MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
72,BRUSH MAKER,Processing of animal products,"Leather, textiles, garments"
73,BUILDER,"Construction, repair and maintenance of residences and general construction work",Construction
74,BUTCHER,Processing of plant and animal food products,Production of food and drink
75,BUTLER,"Private activity and service; servants, day laborers",Estate and household labor
76,BUTTON MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
77,CABINET MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
78,"CABLEMAN, CABLER","Mail, telegraph, and telephone",Transportation and communication
79,"CABMAN, CABDRIVER",Carrier trade,Transportation and communication
80,CADET,Armed forces,Government
81,CANAL MAN,Water transport,Transportation and communication
82,CANDLE MAKER,Production of chemicals and related production,Manufacturing and mining
83,CANDY MAKER,Processing of plant and animal food products,Production of food and drink
84,CANTOR,Ministry in other Christian faiths,Faith-related
85,CAP MAKER,Garment making,"Leather, textiles, garments"
86,CAPITALIST,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
87,"CAPTAIN, SEA/SHIP CAPTAIN",Water transport,Transportation and communication
88,CAR BUILDER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
89,CAR MAN,Railroads,Transportation and communication
90,CARPENTER,Processing of wood,Manufacturing and mining
91,CARPET MAKER,Processing of fibrous materials,"Leather, textiles, garments"
92,CARRIAGE BUILDER/MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
93,CARRIER,Other overland transport and means of transport,Transportation and communication
94,CART MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
95,CARTER,Other overland transport and means of transport,Transportation and communication
96,CARTMAN,Other overland transport and means of transport,Transportation and communication
97,CARTWRIGHT,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
98,CARVER,Processing of animal products,"Leather, textiles, garments"
99,CASHIER,Credit and public commercial institutions,Trade and commerce
100,CASKMAKER,Processing of wood,Manufacturing and mining
101,CATTLE DRIVER,Other overland transport and means of transport,Transportation and communication
102,CATTLE MAN,Livestock farming,Agriculture
103,CELLAR MAN,"Distilling, brewing and honey fermenting",Production of food and drink
104,CHAIN MAKER,Processing of metals,Manufacturing and mining
105,CHAIR MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
106,CHAMBER MAID,"Private activity and service; servants, day laborers",Estate and household labor
107,CHARGER,Trade in other articles,Trade and commerce
108,CHECKER,Trade in other articles,Trade and commerce
109,CHEESE MAKER,Processing of plant and animal food products,Production of food and drink
110,CHEMIST,Production of chemicals and related production,Manufacturing and mining
