portID,port,port_mdr,port_type,cntry_mdr,geonm_crd,geonm_lat,geonm_long,geonm_url,note
1,Amsterdam,Amsterdam,departure,The Netherlands,"52.37403, 4.88969",52.37403,4.88969,https://www.geonames.org/2759794/amsterdam.html,
2,Antwerp,Antwerp,departure,Belgium,"51.22047, 4.40026",51.22047,4.40026,https://www.geonames.org/2803138/antwerpen.html,
3,"Aspinwall, Colon",Colón,departure,Panama,"9.35451, -79.90011",9.35451,-79.90011,https://www.geonames.org/3712076/colon.html,
4,Baltic,NA,departure,NA,"56, 18",56,18,https://www.geonames.org/2633321/baltic-sea.html,centroid of the Baltic Sea
5,Baltimore,Baltimore,arrival,United States,"39.29038, -76.61219",39.29038,-76.61219,https://www.geonames.org/4347778/baltimore.html,
6,Barrow,Barrow-in-Furness,departure,England,"54.11094, -3.22758",54.11094,-3.22758,https://www.geonames.org/2656241/barrow-in-furness.html,
7,Bermuda,Hamilton,departure,Bermuda,"32.2949, -64.78303",32.2949,-64.78303,https://www.geonames.org/3573197/hamilton.html,Port ID based on https://www.ggarchives.com/OceanTravel/PortsOfCall/Bermuda.html
8,Bordeaux,Bordeaux,departure,France,"44.84044, -0.5805",44.84044,-0.5805,https://www.geonames.org/3031582/bordeaux.html,
9,Boston,Boston,arrival,United States,"42.35843, -71.05977",42.35843,-71.05977,https://www.geonames.org/4930956/boston.html,
10,Boulogne,Boulogne-sur-Mer,departure,France,"50.72571, 1.61392",50.72571,1.61392,https://www.geonames.org/3031133/boulogne-sur-mer.html,"also ""BOLOGNE"""
11,Bremen,Bremen,departure,Germany,"53.07582, 8.80717",53.07582,8.80717,https://www.geonames.org/2944388/bremen.html,
12,Bremerhaven,Bremerhaven,departure,Germany,"53.53615, 8.59298",53.53615,8.59298,https://www.geonames.org/2944368/bremerhaven.html,
13,Brest,Brest,departure,France,"48.39029, -4.48628",48.39029,-4.48628,https://www.geonames.org/3030300/brest.html,
14,Campeche,Campeche,departure,Mexico,"19.84386, -90.52554",19.84386,-90.52554,https://www.geonames.org/3531732/campeche.html,
15,Cape Town,Cape Town,departure,South Africa,"-33.92584, 18.42322",-33.92584,18.42322,https://www.geonames.org/3369157/cape-town.html,
16,Caribbean ports,NA,departure,NA,"15.00028, -75.00028",15.00028,-75.00028,https://www.geonames.org/4563233/caribbean-sea.html,centroid of the Caribbean Sea
17,Cherbourg,Cherbourg-Octeville,interim,France,"49.63984, -1.61636",49.63984,-1.61636,https://www.geonames.org/3025466/cherbourg-octeville.html,"also ""Cherburg"""
18,Christiania,Oslo,departure,Norway,"59.91273, 10.74609",59.91273,10.74609,https://www.geonames.org/3143244/oslo.html,"also ""Christiana"""
19,Christiansand,Kristiansand,departure,Norway,"58.14671, 7.9956",58.14671,7.9956,https://www.geonames.org/3149318/kristiansand.html,
20,Cienfuegos,Cienfuegos,departure,Cuba,"22.14681, -80.4481",22.14681,-80.4481,https://www.geonames.org/3564124/cienfuegos.html,
21,Copenhagen,Copenhagen,departure,Denmark,"55.67594, 12.56553",55.67594,12.56553,https://www.geonames.org/2618425/copenhagen.html,
22,Coruna,A Coruña,departure,Spain,"43.37135, -8.396",43.37135,-8.396,https://www.geonames.org/3119841/a-coruna.html,
23,Curacao,Willemstad,departure,Curaçao,"12.12246, -68.88641",12.12246,-68.88641,https://www.geonames.org/3513090/willemstad.html,
24,Cuxhaven,Cuxhaven,departure,Germany,"53.86828, 8.69902",53.86828,8.69902,https://www.geonames.org/2939658/cuxhaven.html,
25,Drogheda,Drogheda,departure,Ireland,"53.71889, -6.34778",53.71889,-6.34778,https://www.geonames.org/2964661/drogheda.html,
26,Dublin,Dublin,interim,Ireland,"53.33306, -6.24889",53.33306,-6.24889,https://www.geonames.org/2964574/dublin.html,
27,Falmouth,Falmouth,departure,England,"50.15441, -5.07113",50.15441,-5.07113,https://www.geonames.org/2649715/falmouth.html,
28,Galway,Galway,interim,Ireland,"53.27245, -9.05095",53.27245,-9.05095,https://www.geonames.org/2964180/gaillimh.html,
29,Geestemunde,Geestemünde,interim,Germany,"53.53294, 8.59446",53.53294,8.59446,https://www.geonames.org/2922109/geestemuende.html,
30,Genoa,Genoa,departure,Italy,"44.40478, 8.94439",44.40478,8.94439,https://www.geonames.org/3176219/genoa.html,
31,Gibraltar,Gibraltar,departure,Gibraltar,"36.14474, -5.35257",36.14474,-5.35257,https://www.geonames.org/2411585/gibraltar.html,
32,Glasgow,Glasgow,departure,Scotland,"55.86515, -4.25763",55.86515,-4.25763,https://www.geonames.org/2648579/glasgow.html,
33,Gothenburg,Göteborg,departure,Sweden,"57.70716, 11.96679",57.70716,11.96679,https://www.geonames.org/2711537/goeteborg.html,
34,Greenock,Greenock,departure,Scotland,"55.94838, -4.76121",55.94838,-4.76121,https://www.geonames.org/2647948/greenock.html,
35,Greenwich,Greenwich,departure,England,"51.47687, -0.00041",51.47687,-0.00041,https://www.geonames.org/6295636/royal-greenwich-observatory.html,
36,Halifax,Halifax,departure,Canada,"44.64269, -63.57688",44.64269,-63.57688,https://www.geonames.org/6324729/halifax.html,
