routeID,ships,vygs,vygs_ship,itinry,port_arv
1,1,1,1.0,Amsterdam-Baltimore,Baltimore
2,18,186,10.3,Amsterdam-New York,New York
3,8,25,3.1,Amsterdam & Bologne-New York,New York
4,2,2,1.0,Antwerp-Boston,Boston
5,2,2,1.0,Antwerp-New Orleans,New Orleans
6,41,651,15.9,Antwerp-New York,New York
7,7,41,5.9,Antwerp-Philadelphia,Philadelphia
8,2,2,1.0,Antwerp & Southampton-New York,New York
9,2,2,1.0,Antwerp & Stettin-New York,New York
10,1,1,1.0,"Antwerp, Bordeaux & Havre-New Orleans",New Orleans
11,8,17,2.1,Aspinwall-New York,New York
12,5,11,2.2,"Aspinwall, Panama-New York",New York
13,1,1,1.0,Baltic-Philadelphia,Philadelphia
14,2,2,1.0,Barrow & Dublin-New York,New York
15,2,2,1.0,Bermuda-New York,New York
16,2,5,2.5,Bordeaux-New York,New York
17,2,3,1.5,Boulogne-New York,New York
18,13,215,16.5,Boulogne & Rotterdam-New York,New York
19,45,364,8.1,Bremen-Baltimore,Baltimore
20,16,18,1.1,Bremen-New Orleans,New Orleans
21,134,995,7.4,Bremen-New York,New York
22,2,2,1.0,Bremen-Philadelphia,Philadelphia
23,4,5,1.3,Bremen & Bremerhaven-Baltimore,Baltimore
24,6,6,1.0,Bremen & Bremerhaven-New York,New York
25,1,2,2.0,Bremen & Cherbourg-New York,New York
26,1,1,1.0,Bremen & Christiana-New York,New York
27,1,1,1.0,Bremen & Geestemunde-New York,New York
28,2,2,1.0,Bremen & Havre-New York,New York
29,1,1,1.0,Bremen & Liverpool-New York,New York
30,52,763,14.7,Bremen & Southampton-New York,New York
31,1,1,1.0,"Bremen, Bremerhaven & Southampton-New York",New York
32,2,3,1.5,"Bremen, Havana & Havre-New Orleans",New Orleans
33,2,3,1.5,Bremerhaven-Baltimore,Baltimore
34,2,2,1.0,Bremerhaven-New Orleans,New Orleans
35,8,8,1.0,Bremerhaven-New York,New York
36,2,3,1.5,Bremerhaven & Southampton-New York,New York
37,2,2,1.0,Brest & Havre-New York,New York
38,1,1,1.0,Campeche-New York,New York
39,2,2,1.0,Cape Town-New York,New York
40,1,1,1.0,Caribbean Ports-New York,New York
41,6,9,1.5,Christiania & Copenhagen-New York,New York
42,5,8,1.6,"Christiania, Christiansand & Copenhagen-New York",New York
43,1,1,1.0,Christiansand & Stettin-New York,New York
44,3,3,1.0,"Christiansand, Gothenburg & Helsingfors-New York",New York
45,1,1,1.0,Cienfuegos-New York,New York
46,4,9,2.3,Copenhagen-New York,New York
47,2,2,1.0,Copenhagen & Stettin-New York,New York
48,1,1,1.0,"Coruna, Hamburg, Havana, Santander & Southampton-New Orleans",New Orleans
49,2,2,1.0,Curacao-New York,New York
50,2,3,1.5,Curacao & Venezuela-New York,New York
51,8,8,1.0,Cuxhaven-New York,New York
52,1,3,3.0,Drogheda-New York,New York
53,1,1,1.0,Falmouth & Hamburg-New York,New York
54,2,4,2.0,Genoa & Gibraltar-New York,New York
55,1,1,1.0,Genoa & Naples-New York,New York
56,2,2,1.0,"Genoa, Gibraltar & Naples-New York",New York
57,1,1,1.0,Gibraltar & Naples-New York,New York
58,1,1,1.0,Gibraltar & Palermo-New York,New York
59,3,3,1.0,Glasgow-Boston,Boston
60,33,250,7.6,Glasgow-New York,New York
61,3,3,1.0,Glasgow & Greenock-New York,New York
62,1,1,1.0,Glasgow & Halifax-New York,New York
63,1,1,1.0,Glasgow & Havre-New York,New York
64,17,358,21.1,Glasgow & Larne-New York,New York
