MID,arv_date,arv_yr,routeID,shipID,q_psgrs,avg_crss
731,11/24/1891,1891,83,1,208,6
42057,10/1/1891,1891,83,1,356,6
653,1/20/1892,1892,83,1,113,6
60229,6/24/1892,1892,83,1,37,6
60269,8/3/1892,1892,83,1,1,6
82061,3/16/1892,1892,95,1,39,6
82711,12/4/1895,1895,85,1,42,5
43921,3/2/1896,1896,140,1,41,5
44003,4/30/1896,1896,140,1,1,5
44087,6/17/1896,1896,140,1,40,5
44190,8/7/1896,1896,140,1,25,5
44442,1/22/1897,1897,140,1,14,5
961,7/16/1892,1892,83,2,119,6
42719,6/23/1893,1893,83,2,106,6
3376,2/3/1849,1849,60,3,2,13
3388,2/6/1849,1849,104,4,5,13
36535,4/12/1882,1882,83,4,27,7
36637,5/23/1882,1882,83,4,11,7
36722,7/5/1882,1882,83,4,19,7
766,7/29/1892,1892,83,4,61,6
3447,3/20/1849,1849,112,5,1,13
7481,7/7/1853,1853,112,5,1,12
8721,9/17/1856,1856,112,5,2,11
8967,6/29/1857,1857,112,5,3,11
9702,11/21/1860,1860,112,5,1,10
3456,3/31/1849,1849,104,6,2,13
7214,9/30/1852,1852,112,6,2,12
6431,4/17/1850,1850,83,7,1,12
6445,7/10/1850,1850,83,8,9,12
7306,9/24/1852,1852,83,8,1,12
8018,8/3/1852,1852,21,8,4,12
8415,5/10/1855,1855,30,8,1,11
8711,8/28/1856,1856,30,8,1,11
18424,10/13/1857,1857,20,8,1,11
18472,5/20/1858,1858,20,8,1,11
10402,1/4/1865,1865,21,8,1,9
30262,10/22/1866,1866,21,8,4,9
33091,9/1/1873,1873,30,8,1,8
33532,8/13/1874,1874,28,8,1,8
33679,11/23/1874,1874,30,8,1,8
33971,11/29/1875,1875,21,8,16,7
34248,11/18/1876,1876,21,8,59,7
34284,1/11/1877,1877,21,8,1,7
34554,8/22/1877,1877,21,8,1,7
15815,8/12/1880,1880,19,8,2,7
15818,9/23/1880,1880,19,8,24,7
15822,11/2/1880,1880,19,8,4,7
15835,2/4/1881,1881,19,8,1,7
15843,4/1/1881,1881,19,8,2,7
15853,5/13/1881,1881,19,8,36,7
15877,8/11/1881,1881,19,8,3,7
15887,9/21/1881,1881,19,8,2,7
15898,11/5/1881,1881,19,8,5,7
36152,7/18/1881,1881,6,8,1,7
15910,3/13/1882,1882,19,8,3,7
15923,5/31/1882,1882,19,8,46,7
15950,11/19/1882,1882,19,8,3,7
15978,6/20/1883,1883,19,8,2,7
16015,9/26/1883,1883,19,8,1,7
16026,12/21/1883,1883,19,8,2,7
37309,5/7/1883,1883,21,8,7,7
16034,8/21/1884,1884,19,8,2,7
16040,10/1/1884,1884,19,8,2,7
16046,11/15/1884,1884,19,8,20,7
16050,1/2/1885,1885,19,8,2,7
16053,2/20/1885,1885,19,8,52,7
16064,8/19/1885,1885,19,8,18,7
38168,5/15/1885,1885,21,8,48,7
38542,2/15/1886,1886,21,8,5,7
38677,5/29/1886,1886,21,8,28,7
38737,7/7/1886,1886,21,8,2,7
38873,9/29/1886,1886,21,8,20,7
16116,3/23/1887,1887,19,8,110,7
16123,5/4/1887,1887,19,8,31,7
16131,6/15/1887,1887,19,8,99,7
16159,11/23/1887,1887,19,8,91,7
16166,1/3/1888,1888,19,8,71,6
16173,2/22/1888,1888,19,8,13,6
16179,4/6/1888,1888,19,8,39,6
16202,8/8/1888,1888,19,8,73,6
16208,9/12/1888,1888,19,8,44,6
16215,10/24/1888,1888,19,8,62,6
16221,12/3/1888,1888,19,8,39,6
16232,3/28/1889,1889,19,8,76,6
16239,5/9/1889,1889,19,8,112,6
16250,7/5/1889,1889,19,8,97,6
